seed,n,dt,n_train,n_test,fitted_a,fitted_a_plus_b,fitted_b,fitted_sigma2_inf,fitted_beta,test_mean_mae,test_var_mae,mean_w2_persistence,mean_w2_gaussian,mean_w2_jko,n_mean_pairs
7,200,0.2,12,8,1.2457142203994143,1.4795231720092406,0.2338089516098263,0.3241258119834637,0.4795516494758449,0.017881691217883425,0.03644416394864503,0.0701060264116795,0.06921975398813184,nan,10
8,200,0.2,12,8,1.1764743723200743,1.5618953169809773,0.38542094466090293,0.33294959641803923,0.5200324154360418,0.026100036262412765,0.02800996336701661,0.0799457227334487,0.07791884706459506,nan,11
9,200,0.2,12,8,0.9703609977251896,1.5520403760141515,0.5816793782889619,0.36455175129409945,0.5657990371551115,0.015477054521799632,0.031204095297497965,0.07701633709775117,0.07541646488628818,nan,12
10,200,0.2,12,8,1.2852918725328493,1.5747055769206701,0.2894137043878209,0.3828172949695069,0.6028245293301677,0.029142137527544545,0.028822383050905252,0.07861643613967476,0.07405725694878165,nan,11
11,200,0.2,12,8,0.9126459765908399,1.7023355595915992,0.7896895830007593,0.3992287527121218,0.6796213021532461,0.017600349348743674,0.02057212002302245,0.08176560646013756,0.07929642014441197,nan,12
12,200,0.2,12,8,0.9043387609962079,1.6629304741021629,0.758591713105955,0.34505424979299076,0.5738012271992242,0.02183310016305675,0.01664205173019765,0.07842719276716964,0.07612010197698396,nan,12
13,200,0.2,12,8,0.9320978276787462,1.5160754394781628,0.5839776117994167,0.31756109800320415,0.4814465812163757,0.03603239935361338,0.028158086515941816,0.07766433647375465,0.072976861188527,nan,12
14,200,0.2,12,8,0.9554135584130209,1.7105623675126027,0.7551488090995818,0.35354994925625954,0.6047692382337478,0.019439202688063702,0.0328241057878404,0.06517151158450907,0.06386828885591177,nan,12
15,200,0.2,12,8,0.9602514576561395,1.6910590320927015,0.730807574436562,0.3531353122936474,0.5971726594050493,0.02173080409057495,0.01963896798240984,0.07174462888348436,0.07255572231597371,nan,12
16,200,0.2,12,8,1.2236292874225603,1.5683294656134208,0.3447001781908605,0.2772214319477734,0.4347745402232387,0.01779152602432945,0.04428285178236032,0.07377363429240633,0.07891619194844116,nan,11
17,200,0.2,12,8,0.872719913518918,1.3624330023996127,0.48971308888069476,0.2923337561499725,0.39828515709416323,0.014344174489068155,0.027391298688874,0.06957738273879437,0.06732822327457656,nan,12
18,200,0.2,12,8,1.1367958484565817,1.4125868807599702,0.27579103230338853,0.290138660591465,0.4098460655527732,0.03381332864180127,0.024296527909695234,0.07469174359188083,0.07280413786784025,nan,11
19,200,0.2,12,8,1.1404718533714577,1.4513012326118424,0.3108293792403847,0.3268196823195192,0.47431380779212895,0.021365083722839667,0.023159255124590668,0.07084026687655777,0.06859768694368869,nan,12
20,200,0.2,12,8,1.3336676756091066,1.6461975419984392,0.31252986638933256,0.35736596791028774,0.5882949779678087,0.024779210872015,0.015620427514717289,0.0681912890595206,0.06612179963936575,nan,12
21,200,0.2,12,8,0.8897212003999014,1.4458148011451946,0.5560936007452931,0.35676575952925516,0.5158172156692044,0.031568074088347706,0.019784469420451596,0.0769697949563356,0.07365850192165725,nan,11
22,200,0.2,12,8,1.0150823992287805,1.5438769757089743,0.5287945764801938,0.3037682468374978,0.4689808022438933,0.01951791138974149,0.02804050177063716,0.066493400834785,0.06589211709333401,nan,12
23,200,0.2,12,8,1.012091295163328,1.6928027666239738,0.6807114714606457,0.3410239238334334,0.5772862417501994,0.01267946695101471,0.020490029509183133,0.06734783675510893,0.0662025608478562,nan,10
24,200,0.2,12,8,0.8592124758398206,1.6138081993592874,0.7545957235194668,0.3545727473923846,0.5722124070111797,0.030426052189084854,0.035197196765765104,0.08470104236859569,0.08190012012853101,nan,12
