method,ic,n,M,dx,dt,tau,dt_factor,t_final,runtime_sec,runtime_median_sec,n_timing_repeats,stable,mean_err,var_err,w2_to_exact,energy_err,signed_mass_err,min_density,energy_increases,mu_T,var_T,mu_exact,var_exact
implicit,gaussian,321,,0.037499999999999645,0.025,,,1.0,0.04721200000130921,,,True,0.016148953903353636,0.024599815337694397,0.02541444306232037,0.008338874685391517,1.5543122344752192e-15,1.9279924361746616e-20,0,0.38402839507479597,0.39112452758293703,0.36787944117144233,0.36652471224524263
implicit,gaussian,641,,0.018749999999999822,0.2,,,1.0,0.010261082999932114,,,True,0.0688241192453874,0.054606702113356276,0.08186506915579181,0.03440622732522963,2.098321516541546e-14,6.403944336823443e-17,0,0.43670356041682973,0.4211314143585989,0.36787944117144233,0.36652471224524263
implicit,gaussian,641,,0.018749999999999822,0.1,,,1.0,0.021106332998897415,,,True,0.0380270412292249,0.03254139837952785,0.04640279822380158,0.017995478655681907,1.2878587085651816e-14,6.666441812083532e-19,0,0.40590648240066723,0.3990661106247705,0.36787944117144233,0.36652471224524263
implicit,gaussian,641,,0.018749999999999822,0.05,,,1.0,0.04160174999924493,,,True,0.021323457433635784,0.021055123662160224,0.027426537348167898,0.009948257095443724,1.0658141036401503e-14,9.049152807440739e-21,0,0.3892028986050781,0.38757983590740286,0.36787944117144233,0.36652471224524263
implicit,gaussian,641,,0.018749999999999822,0.025,,,1.0,0.08325462500215508,0.08255143750102434,10,True,0.012613279215542339,0.015234252440595897,0.017753407470959857,0.005987885712080698,3.3306690738754696e-15,6.312594416776011e-22,0,0.3804927203869847,0.38175896468583853,0.36787944117144233,0.36652471224524263
explicit,gaussian,81,,0.15000000000000036,0.011250000000000053,,0.5,1.0,0.032384875001298496,,,True,0.026481104051355175,0.07234677840253678,0.05815087093989767,0.019737440042058796,4.440892098500626e-16,-9.917370945908853e-10,0,0.3943605452227975,0.4388714906477794,0.36787944117144233,0.36652471224524263
explicit,gaussian,81,,0.15000000000000036,0.005625000000000027,,0.25,1.0,0.06457824999961304,,,True,0.027418007438878678,0.07363065178826489,0.05936516015417635,0.0203473865281813,4.440892098500626e-16,2.1483135133567733e-15,0,0.395297448610321,0.4401553640335075,0.36787944117144233,0.36652471224524263
explicit,gaussian,161,,0.07500000000000018,0.0028125000000000133,,0.5,1.0,0.19923520800148253,0.19643293749868462,10,True,0.013569335071124566,0.03675378885468178,0.03121192586592118,0.008889109803084938,4.440892098500626e-16,1.764235667167367e-18,0,0.3814487762425669,0.4032785010999244,0.36787944117144233,0.36652471224524263
explicit,gaussian,161,,0.07500000000000018,0.0014062500000000067,,0.25,1.0,0.3965080409980146,,,True,0.014327696455311623,0.03722335299760038,0.03186448358363155,0.009241371792309883,4.440892098500626e-16,1.8258491726824375e-18,0,0.38220713762675396,0.403748065242843,0.36787944117144233,0.36652471224524263
explicit,gaussian,321,,0.037499999999999645,0.0007031249999999866,,0.5,1.0,1.3419637090009928,,,True,0.007218408252161523,0.018618651352003968,0.016574332710229636,0.00429487012832408,5.551115123125783e-16,5.899967368612337e-21,0,0.37509784942360386,0.3851433635972466,0.36787944117144233,0.36652471224524263
explicit,gaussian,321,,0.037499999999999645,0.0003515624999999933,,0.25,1.0,2.6846302920021117,,,True,0.007281391422490402,0.018700862284176167,0.016660470880702515,0.004327005180861321,6.661338147750939e-16,5.97083184676136e-21,0,0.37516083259393274,0.3852255745294188,0.36787944117144233,0.36652471224524263
explicit,gaussian,641,,0.018749999999999822,0.00017578124999999666,,0.5,1.0,9.964137040999049,9.850121520999892,10,True,0.0036115633058267926,0.009340051900777968,0.008496753075341593,0.002059109370971257,1.1102230246251565e-15,1.1244592230476522e-22,0,0.3714910044772691,0.3758647641460206,0.36787944117144233,0.36652471224524263
explicit,gaussian,641,,0.018749999999999822,8.789062499999833e-05,,0.25,1.0,19.964815541999997,,,True,0.0036275158040165456,0.009360651857175828,0.008518668549597383,0.002066812807976437,6.661338147750939e-16,1.128947060348341e-22,0,0.3715069569754589,0.37588536410241846,0.36787944117144233,0.36652471224524263
jko,bimodal,,60,,,0.2,,1.0,0.022678332999930717,,,True,1.7250930705407324e-07,0.08426922852577712,0.06887396838451194,0.033600880115975285,0.0,0.0,0,-1.7250930705407324e-07,0.6021466286093261,0.0,0.517877400083549
jko,bimodal,,60,,,0.05,,1.0,0.11594058300033794,,,True,1.4448540996969683e-07,0.017556207859308337,0.01948010439865817,0.008159388775141774,0.0,0.0,0,1.4448540996969683e-07,0.5354336079428573,0.0,0.517877400083549
jko,bimodal,,60,,,0.0125,,1.0,0.4754249159996107,,,True,2.241427081347188e-07,0.0003983838338529333,0.006642136959184499,0.0026324620418622935,0.0,0.0,0,2.241427081347188e-07,0.5182757839174019,0.0,0.517877400083549
jko,bimodal,,240,,,0.2,,1.0,0.035108125000988366,,,True,6.718990241220505e-08,0.08796405343849878,0.0671119618113627,0.03279243642893381,0.0,0.0,0,6.718990241220505e-08,0.6058414535220478,0.0,0.517877400083549
jko,bimodal,,240,,,0.05,,1.0,0.1814727920027508,,,True,2.0340814638567887e-07,0.021501034736857494,0.01777781439432491,0.007459874309669767,0.0,0.0,0,2.0340814638567887e-07,0.5393784348204065,0.0,0.517877400083549
jko,bimodal,,240,,,0.0125,,1.0,0.821159125000122,,,True,2.4038169836870794e-07,0.0043986535280590155,0.004905359622092072,0.00195574169246715,0.0,0.0,0,-2.4038169836870794e-07,0.522276053611608,0.0,0.517877400083549
implicit,bimodal,161,,0.07500000000000018,0.05,,,1.0,0.016094040998723358,,,True,6.661338147750916e-16,0.0999917656288355,0.0639078443083239,0.030419702112437774,5.995204332975845e-15,4.480941635158443e-19,0,6.661338147750916e-16,0.6178691657123845,0.0,0.517877400083549
implicit,bimodal,641,,0.018749999999999822,0.025,,,1.0,0.08434395899894298,,,True,3.6637359812629345e-15,0.03523952545220088,0.023837574173194438,0.009946726363793235,1.865174681370263e-14,6.775796526245332e-26,0,-3.6637359812629345e-15,0.5531169255357499,0.0,0.517877400083549
explicit,bimodal,161,,0.07500000000000018,0.0028125000000000133,,0.5,1.0,0.19988499999817577,,,True,3.330669073875476e-16,0.05426037912406034,0.03518473657526739,0.015013211121777226,6.661338147750939e-16,5.820940403517678e-85,0,3.330669073875476e-16,0.5721377792076093,0.0,0.517877400083549
